Track file,G:\Water Maze Data\xxx_0001\data\track_00001.trk
Object,0
Samples,1500
Name,9,
Goal Position,NE,
Comment,,
Trial,1,
Sample no.,Time,X,Y,Area,ZONES [Acquisition Zonedef],ZONES [after rec],Distance to zone [Arena],Distance to zone border [Arena],Distance to point [Arena],Distance moved,Velocity
98,7.7600,193.5324,156.8219,106.0000,wall,q1,0.0000,15.8794,82.6445,2.2542,28.1769
99,7.8400,192.1068,157.5347,109.0000,wall,q1,0.0000,16.3834,82.0443,1.5939,19.9241
100,7.9200,190.3247,158.2475,106.0000,wall,q1,0.0000,17.1671,81.2101,1.9193,23.9918
101,8.0000,188.5427,158.9603,108.0000,wall,q1,0.0000,18.1071,80.4130,1.9193,23.9918
102,8.0800,186.7606,159.6732,101.0000,wall,q1,0.0000,18.6769,79.6542,1.9193,23.9918
103,8.1600,185.3349,160.0296,86.0000,wall,q1,0.0000,19.4074,78.9203,1.4695,18.3691
104,8.2400,184.2657,159.6732,92.0000,wall,q1,0.0000,20.4154,77.9272,1.1271,14.0885
105,8.3200,182.8400,158.9603,100.0000,center,q1,0.0000,21.8839,76.4342,1.5939,19.9241
106,8.4000,181.7708,157.8911,102.0000,center,q1,0.0000,23.3825,74.9233,1.5121,18.9017
107,8.4800,181.0580,156.4655,109.0000,center,q1,0.0000,24.9489,73.3934,1.5939,19.9241
108,8.5600,179.9887,154.6834,106.0000,center,q1,0.0000,26.9676,71.3624,2.0782,25.9779
109,8.6400,178.9195,152.9013,100.0000,center,q1,0.0000,28.9837,69.3342,2.0782,25.9779
110,8.7200,177.8503,151.8321,111.0000,center,q1,0.0000,30.4957,67.8224,1.5121,18.9017
111,8.8000,176.7810,150.0500,100.0000,center,q1,0.0000,32.5197,65.7971,2.0782,25.9779
112,8.8800,174.9989,148.6244,106.0000,center,q1,0.0000,34.7827,63.5337,2.2822,28.5270
113,8.9600,173.5733,147.5551,98.0000,center,q1,0.0000,36.5441,61.7756,1.7821,22.2758
114,9.0400,171.7912,146.4859,104.0000,center,q1,0.0000,38.5190,59.7749,2.0782,25.9779
115,9.1200,170.0092,145.4166,96.0000,center,q1,0.0000,40.4776,57.7797,2.0782,25.9779
116,9.2000,168.2271,144.3474,103.0000,center,q1,0.0000,42.4476,55.7905,2.0782,25.9779
117,9.2800,166.4450,143.2782,102.0000,center,q1,0.0000,44.4275,53.8081,2.0782,25.9779
118,9.3600,165.0194,142.2089,101.0000,center,q1,0.0000,46.1758,52.0656,1.7821,22.2758
119,9.4400,163.9501,140.7833,89.0000,center,q1,0.0000,47.9505,50.2879,1.7821,22.2758
120,9.5200,163.2373,139.7140,100.0000,center,q1,0.0000,49.2225,49.0135,1.2851,16.0633
121,9.6000,163.2373,138.2884,106.0000,center,q1,0.0000,50.2947,47.9495,1.4257,17.8207
122,9.6800,163.5937,136.8627,114.0000,center,q1,0.0000,51.1574,47.1505,1.4695,18.3691
123,9.7600,164.3065,135.4371,110.0000,center,q1,0.0000,51.7143,46.6384,1.5939,19.9241
124,9.8400,165.7322,134.0114,119.0000,center,q1,0.0000,51.6799,46.7038,2.0162,25.2022
125,9.9200,167.1579,132.9422,117.0000,center,q1,0.0000,51.4125,47.0831,1.7821,22.2758
126,10.0000,168.9399,131.5165,122.0000,center,q1,0.0000,50.9322,47.5930,2.2822,28.5270
127,10.0800,170.7220,130.8037,115.0000,center,q1,0.0000,49.9716,48.6125,1.9193,23.9918
128,10.1600,172.5041,129.7345,116.0000,center,q1,0.0000,49.1515,49.4906,2.0782,25.9779
129,10.2400,174.2861,128.6652,119.0000,center,q1,0.0000,48.2318,50.4390,2.0782,25.9779
130,10.3200,176.4246,127.9524,117.0000,center,q1,0.0000,46.7717,51.9381,2.2542,28.1769
131,10.4000,178.5631,127.2396,116.0000,center,q1,0.0000,45.2687,53.4903,2.2542,28.1769
132,10.4800,180.3451,126.1703,119.0000,center,q1,0.0000,44.1521,54.6161,2.0782,25.9779
133,10.5600,182.4836,125.1011,119.0000,center,q1,0.0000,42.7176,56.1236,2.3909,29.8862
134,10.6400,184.6221,124.3883,120.0000,center,q1,0.0000,41.0479,57.8228,2.2542,28.1769
