Track file,G:\Water Maze Data\xxx_0001\data\track_00001.trk
Object,0
Samples,1500
Name,9,
Goal Position,NE,
Comment,,
Trial,1,
Sample no.,Time,X,Y,Area,ZONES [Acquisition Zonedef],ZONES [after rec],Distance to zone [Arena],Distance to zone border [Arena],Distance to point [Arena],Distance moved,Velocity
514,41.0400,143.9910,187.4734,110.0000,wall,q2,0.0000,11.9545,85.6513,2.0782,25.9779
515,41.1200,144.7038,189.2555,110.0000,wall,q2,0.0000,10.0809,87.5220,1.9193,23.9918
516,41.2000,145.7731,191.0375,113.0000,wall,q2,0.0000,8.2053,89.4532,2.0782,25.9779
517,41.2800,146.8423,192.4632,117.0000,wall,q2,0.0000,6.6584,91.0397,1.7821,22.2758
518,41.3600,147.5551,194.2453,110.0000,wall,q2,0.0000,4.7551,92.9196,1.9193,23.9918
519,41.4400,148.2679,194.9581,105.0000,wall,q2,0.0000,3.9367,93.7499,1.0081,12.6011
520,41.5200,148.2679,195.3145,88.0000,wall,q2,0.0000,3.5819,94.1003,0.3564,4.4552
521,41.6000,148.2679,194.9581,78.0000,wall,q2,0.0000,3.9367,93.7499,0.3564,4.4552
522,41.6800,148.2679,194.6017,79.0000,wall,q2,0.0000,4.2918,93.3997,0.3564,4.4552
523,41.7600,148.9808,194.6017,84.0000,wall,q2,0.0000,4.2770,93.5343,0.7128,8.9103
524,41.8400,149.3372,194.2453,85.0000,wall,q2,0.0000,4.6334,93.2541,0.5040,6.3006
525,41.9200,150.0500,194.2453,96.0000,wall,q2,0.0000,4.4086,93.3971,0.7128,8.9103
526,42.0000,150.4064,194.2453,108.0000,wall,q2,0.0000,4.3360,93.4705,0.3564,4.4552
527,42.0800,151.4757,193.8889,111.0000,wall,q2,0.0000,4.4086,93.3509,1.1271,14.0885
528,42.1600,152.5449,193.8889,114.0000,wall,q2,0.0000,4.1717,93.5916,1.0692,13.3655
529,42.2400,154.3270,193.1760,111.0000,wall,q2,0.0000,4.4086,93.3280,1.9193,23.9918
530,42.3200,155.7526,192.8196,119.0000,wall,q2,0.0000,4.4086,93.3512,1.4695,18.3691
531,42.4000,157.5347,192.1068,116.0000,wall,q2,0.0000,4.6334,93.1565,1.9193,23.9918
532,42.4800,159.3168,191.3940,112.0000,wall,q2,0.0000,4.8477,93.0010,1.9193,23.9918
533,42.5600,160.7424,190.3247,114.0000,wall,q2,0.0000,5.4287,92.4325,1.7821,22.2758
534,42.6400,162.1681,189.6119,112.0000,wall,q2,0.0000,5.5788,92.2303,1.5939,19.9241
535,42.7200,163.5937,188.5427,112.0000,wall,q2,0.0000,6.0904,91.7221,1.7821,22.2758
536,42.8000,165.0194,187.4734,112.0000,wall,q2,0.0000,6.6584,91.2458,1.7821,22.2758
537,42.8800,166.0886,186.4042,114.0000,wall,q2,0.0000,7.2168,90.6634,1.5121,18.9017
538,42.9600,167.5143,184.9785,110.0000,wall,q2,0.0000,7.9696,89.9206,2.0162,25.2022
539,43.0400,168.5835,183.9093,107.0000,wall,q2,0.0000,8.5688,89.3893,1.5121,18.9017
540,43.1200,169.6527,182.4836,111.0000,wall,q2,0.0000,9.4096,88.5597,1.7821,22.2758
541,43.2000,170.7220,181.4144,114.0000,wall,q2,0.0000,9.8836,88.0765,1.5121,18.9017
542,43.2800,171.7912,179.9887,117.0000,wall,q2,0.0000,10.6805,87.3014,1.7821,22.2758
543,43.3600,172.8605,178.9195,106.0000,wall,q2,0.0000,11.1575,86.8682,1.5121,18.9017
544,43.4400,174.2861,177.1374,107.0000,wall,q2,0.0000,11.9810,86.0202,2.2822,28.5270
545,43.5200,175.7118,176.0682,113.0000,wall,q2,0.0000,12.1651,85.8325,1.7821,22.2758
546,43.6000,177.1374,174.9989,105.0000,wall,q2,0.0000,12.3568,85.6815,1.7821,22.2758
547,43.6800,178.5631,173.9297,107.0000,wall,q2,0.0000,12.5557,85.5673,1.7821,22.2758
548,43.7600,179.9887,172.8605,106.0000,wall,q2,0.0000,12.6915,85.4901,1.7821,22.2758
549,43.8400,181.4144,172.1476,115.0000,wall,q2,0.0000,12.4132,85.7379,1.5939,19.9241
550,43.9200,183.1965,171.4348,114.0000,wall,q1,0.0000,11.9119,86.2300,1.9193,23.9918
551,44.0000,184.6221,170.7220,112.0000,wall,q1,0.0000,11.6368,86.5403,1.5939,19.9241
552,44.0800,186.4042,170.0092,112.0000,wall,q1,0.0000,11.1859,87.1052,1.9193,23.9918
553,44.1600,187.8298,169.6527,110.0000,wall,q1,0.0000,10.5849,87.7475,1.4695,18.3691
554,44.2400,189.2555,169.2963,117.0000,wall,q1,0.0000,9.8321,88.4096,1.4695,18.3691
555,44.3200,190.6811,168.9399,118.0000,wall,q1,0.0000,9.1980,89.0910,1.4695,18.3691
556,44.4000,192.1068,168.9399,116.0000,wall,q1,0.0000,8.3206,90.0527,1.4257,17.8207
557,44.4800,193.5324,168.5835,119.0000,wall,q1,0.0000,7.5607,90.7680,1.4695,18.3691
558,44.5600,195.3145,168.5835,121.0000,wall,q1,0.0000,6.3458,92.0052,1.7821,22.2758
559,44.6400,196.7402,168.2271,102.0000,wall,q1,0.0000,5.8020,92.7561,1.4695,18.3691
560,44.7200,197.4530,168.2271,99.0000,wall,q1,0.0000,5.2985,93.2629,0.7128,8.9103
561,44.8000,197.4530,168.2271,87.0000,wall,q1,0.0000,5.2985,93.2629,0.0000,0.0000
562,44.8800,197.4530,167.8707,90.0000,wall,q1,0.0000,5.5445,93.0133,0.3564,4.4552
563,44.9600,197.0966,167.8707,85.0000,wall,q1,0.0000,5.8020,92.7589,0.3564,4.4552
564,45.0400,197.0966,167.5143,94.0000,wall,q1,0.0000,6.0485,92.5093,0.3564,4.4552
565,45.1200,197.4530,167.5143,112.0000,wall,q1,0.0000,5.8020,92.7643,0.3564,4.4552
566,45.2000,197.8094,167.1579,124.0000,wall,q1,0.0000,5.8020,92.7726,0.5040,6.3006
567,45.2800,198.1658,166.4450,120.0000,wall,q1,0.0000,5.9319,92.5381,0.7970,9.9621
568,45.3600,198.5222,165.7322,128.0000,wall,q1,0.0000,6.0695,92.3099,0.7970,9.9621
569,45.4400,199.2351,162.5245,106.0000,wall,q1,0.0000,7.8168,90.6895,3.2860,41.0746
570,45.5200,199.5915,158.9603,120.0000,wall,q1,0.0000,9.9093,88.6593,3.5819,44.7739
571,45.6000,199.9479,156.4655,110.0000,wall,q1,0.0000,11.1347,87.3819,2.5202,31.5028
572,45.6800,199.9479,153.9706,110.0000,wall,q1,0.0000,12.6915,85.8727,2.4949,31.1862
573,45.7600,199.9479,151.8321,120.0000,wall,q1,0.0000,13.9730,84.6163,2.1385,26.7310
574,45.8400,199.9479,149.6936,111.0000,wall,q1,0.0000,15.2552,83.3957,2.1385,26.7310
575,45.9200,199.5915,147.5551,113.0000,wall,q1,0.0000,16.7552,81.9139,2.1680,27.0997
576,46.0000,199.2351,145.7731,115.0000,wall,q1,0.0000,17.9909,80.6525,1.8174,22.7170
577,46.0800,199.2351,143.9910,109.0000,wall,q1,0.0000,18.9738,79.7177,1.7821,22.2758
578,46.1600,198.8786,142.2089,107.0000,wall,q1,0.0000,20.1744,78.5035,1.8174,22.7170
579,46.2400,198.5222,140.7833,111.0000,wall,q1,0.0000,21.2208,77.4870,1.4695,18.3691
580,46.3200,198.1658,139.0012,106.0000,center,q1,0.0000,22.4427,76.3156,1.8174,22.7170
581,46.4000,198.1658,137.2191,101.0000,center,q1,0.0000,23.2735,75.4870,1.7821,22.2758
582,46.4800,197.8094,135.7935,102.0000,center,q1,0.0000,24.2282,74.5282,1.4695,18.3691
583,46.5600,197.4530,133.6550,102.0000,center,q1,0.0000,25.5029,73.2835,2.1680,27.0997
584,46.6400,197.4530,132.2293,99.0000,center,q1,0.0000,26.1424,72.6951,1.4257,17.8207
585,46.7200,197.0966,130.0909,102.0000,center,q1,0.0000,27.3882,71.5269,2.1680,27.0997
586,46.8000,196.7402,128.3088,101.0000,center,q1,0.0000,28.3276,70.5341,1.8174,22.7170
587,46.8800,196.7402,126.5267,107.0000,center,q1,0.0000,28.9661,69.9098,1.7821,22.2758
588,46.9600,196.3837,124.7447,97.0000,center,q1,0.0000,29.9154,68.9877,1.8174,22.7170
589,47.0400,196.3837,122.9626,108.0000,center,q1,0.0000,30.5457,68.4421,1.7821,22.2758
590,47.1200,196.0273,121.1805,107.0000,center,q1,0.0000,31.3846,67.5958,1.8174,22.7170
591,47.2000,195.6709,119.3985,109.0000,center,q1,0.0000,32.1642,66.7883,1.8174,22.7170
592,47.2800,195.6709,117.2600,105.0000,center,q1,0.0000,32.6755,66.2898,2.1385,26.7310
593,47.3600,195.3145,115.4779,107.0000,center,q1,0.0000,33.4535,65.5747,1.8174,22.7170
594,47.4400,195.3145,113.6959,107.0000,center,q1,0.0000,33.7315,65.2541,1.7821,22.2758
595,47.5200,194.9581,111.5574,110.0000,center,q1,0.0000,34.3971,64.5786,2.1680,27.0997
596,47.6000,194.6017,109.7753,105.0000,center,q1,0.0000,35.0393,64.0074,1.8174,22.7170
597,47.6800,194.6017,107.2804,100.0000,center,q1,0.0000,35.2849,63.7844,2.4949,31.1862
598,47.7600,194.2453,105.8548,110.0000,center,q1,0.0000,35.6485,63.3445,1.4695,18.3691
599,47.8400,193.8889,103.7163,100.0000,center,q1,0.0000,36.1105,62.9216,2.1680,27.0997
600,47.9200,193.8889,101.9342,107.0000,center,q1,0.0000,36.1105,62.9214,1.7821,22.2758
601,48.0000,193.5324,100.1521,103.0000,center,q1,0.0000,36.3699,62.6155,1.8174,22.7170
602,48.0800,193.1760,98.0137,110.0000,center,q1,0.0000,36.7106,62.3876,2.1680,27.0997
603,48.1600,192.4632,96.2316,104.0000,center,q1,0.0000,37.2072,61.8412,1.9193,23.9918
604,48.2400,192.1068,94.4495,104.0000,center,q1,0.0000,37.2669,61.7031,1.8174,22.7170
605,48.3200,191.7504,92.6675,106.0000,center,q1,0.0000,37.3554,61.6184,1.8174,22.7170
606,48.4000,191.0375,90.8854,106.0000,center,q1,0.0000,37.7765,61.2376,1.9193,23.9918
607,48.4800,190.3247,89.1033,112.0000,center,q1,0.0000,38.0412,60.9148,1.9193,23.9918
608,48.5600,189.6119,87.3213,103.0000,center,q1,0.0000,38.2958,60.6512,1.9193,23.9918
609,48.6400,188.8991,85.8956,110.0000,center,q1,0.0000,38.6409,60.3464,1.5939,19.9241
610,48.7200,187.8298,84.4700,119.0000,center,q1,0.0000,39.1812,59.7431,1.7821,22.2758
611,48.8000,186.7606,83.0443,109.0000,center,q1,0.0000,39.6789,59.1874,1.7821,22.2758
612,48.8800,185.3349,81.9751,114.0000,center,q1,0.0000,40.6374,58.2198,1.7821,22.2758
613,48.9600,183.9093,80.9058,113.0000,center,q1,0.0000,41.5967,57.2912,1.7821,22.2758
614,49.0400,182.4836,80.1930,111.0000,center,q1,0.0000,42.5582,56.2595,1.5939,19.9241
615,49.1200,180.7016,79.1238,110.0000,center,q1,0.0000,43.6748,55.0839,2.0782,25.9779
616,49.2000,179.2759,78.7673,106.0000,center,q1,0.0000,44.7905,53.9583,1.4695,18.3691
617,49.2800,177.4938,78.4109,100.0000,center,q1,0.0000,46.2102,52.5337,1.8174,22.7170
618,49.3600,175.7118,78.4109,108.0000,center,q1,0.0000,47.7448,50.9624,1.7821,22.2758
619,49.4400,174.2861,78.4109,108.0000,center,q1,0.0000,48.9637,49.7155,1.4257,17.8207
620,49.5200,172.5041,78.7673,115.0000,center,q1,0.0000,50.6721,47.9913,1.8174,22.7170
621,49.6000,171.0784,79.4802,119.0000,center,q1,0.0000,52.2617,46.4005,1.5939,19.9241
622,49.6800,169.6527,80.1930,116.0000,center,q1,0.0000,53.8514,44.8099,1.5939,19.9241
623,49.7600,168.2271,80.9058,118.0000,center,q1,0.0000,55.4415,43.2195,1.5939,19.9241
624,49.8400,167.1579,81.9751,118.0000,center,q1,0.0000,56.9068,41.7575,1.5121,18.9017
625,49.9200,165.7322,83.4007,119.0000,center,q1,0.0000,58.8643,39.8140,2.0162,25.2022
626,50.0000,164.6630,84.4700,114.0000,center,q1,0.0000,60.3350,38.3613,1.5121,18.9017
627,50.0800,163.5937,85.5392,118.0000,center,q1,0.0000,61.8036,36.9133,1.5121,18.9017
628,50.1600,162.5245,86.9649,117.0000,center,q1,0.0000,63.4386,35.3093,1.7821,22.2758
629,50.2400,161.4552,88.0341,118.0000,center,q1,0.0000,64.8731,33.8772,1.5121,18.9017
630,50.3200,160.7424,89.4597,113.0000,center,q1,0.0000,66.1480,32.6282,1.5939,19.9241
631,50.4000,160.0296,90.8854,123.0000,center,q1,0.0000,67.4234,31.4104,1.5939,19.9241
632,50.4800,159.6732,91.9546,120.0000,center,q1,0.0000,68.1710,30.6864,1.1271,14.0885
633,50.5600,159.3168,93.7367,119.0000,center,q1,0.0000,69.1231,29.7622,1.8174,22.7170
634,50.6400,158.9603,95.1624,124.0000,center,q1,0.0000,69.9343,29.0147,1.4695,18.3691
635,50.7200,158.6039,96.9444,128.0000,center,q1,0.0000,70.7137,28.2475,1.8174,22.7170
636,50.8000,158.6039,98.3701,130.0000,center,q1,0.0000,70.9701,27.9859,1.4257,17.8207
637,50.8800,158.9603,100.1521,121.0000,center,q1,0.0000,70.9003,28.1133,1.8174,22.7170
638,50.9600,158.9603,101.9342,129.0000,center,q1,0.0000,70.9835,28.0006,1.7821,22.2758
639,51.0400,159.3168,103.7163,122.0000,center,q1,0.0000,70.6274,28.3574,1.8174,22.7170
640,51.1200,159.6732,105.1419,129.0000,center,q1,0.0000,70.2279,28.7935,1.4695,18.3691
641,51.2000,160.0296,107.2804,127.0000,center,q1,0.0000,69.5600,29.3967,2.1680,27.0997
642,51.2800,160.3860,108.7061,117.0000,center,q1,0.0000,68.9823,29.9961,1.4695,18.3691
643,51.3600,160.7424,110.8445,119.0000,center,q1,0.0000,68.1197,30.8321,2.1680,27.0997
644,51.4400,161.0988,112.2702,115.0000,center,q1,0.0000,67.3282,31.5735,1.4695,18.3691
645,51.5200,161.0988,114.4087,115.0000,center,q1,0.0000,66.5835,32.2783,2.1385,26.7310
646,51.6000,161.4552,116.1907,116.0000,center,q1,0.0000,65.5113,33.2864,1.8174,22.7170
647,51.6800,161.4552,117.9728,117.0000,center,q1,0.0000,64.7143,34.0415,1.7821,22.2758
648,51.7600,161.4552,119.7549,121.0000,center,q1,0.0000,63.8149,34.8714,1.7821,22.2758
649,51.8400,161.4552,121.8934,116.0000,center,q1,0.0000,62.6811,35.9587,2.1385,26.7310
650,51.9200,161.4552,123.6754,119.0000,center,q1,0.0000,61.6605,36.9350,1.7821,22.2758
651,52.0000,161.4552,125.1011,117.0000,center,q1,0.0000,60.7870,37.7585,1.4257,17.8207
652,52.0800,161.0988,127.2396,115.0000,center,q1,0.0000,59.7298,38.7812,2.1680,27.0997
653,52.1600,161.0988,128.6652,118.0000,center,q1,0.0000,58.7261,39.6945,1.4257,17.8207
654,52.2400,160.7424,130.4473,119.0000,center,q1,0.0000,57.7577,40.6153,1.8174,22.7170
655,52.3200,160.7424,132.2293,111.0000,center,q1,0.0000,56.4890,41.8480,1.7821,22.2758
656,52.4000,160.3860,134.3678,120.0000,center,q1,0.0000,55.1278,43.1339,2.1680,27.0997
657,52.4800,160.3860,136.1499,120.0000,center,q1,0.0000,53.7806,44.4540,1.7821,22.2758
658,52.5600,160.0296,137.5755,126.0000,center,q1,0.0000,52.8935,45.3034,1.4695,18.3691
659,52.6400,160.0296,139.7140,121.0000,center,q1,0.0000,51.1810,46.9641,2.1385,26.7310
660,52.7200,160.0296,141.4961,119.0000,center,q2,0.0000,49.7615,48.3768,1.7821,22.2758
661,52.8000,159.6732,143.2782,116.0000,center,q2,0.0000,48.5403,49.6060,1.8174,22.7170
662,52.8800,159.6732,145.0602,114.0000,center,q2,0.0000,47.0047,51.0700,1.7821,22.2758
663,52.9600,159.3168,146.4859,106.0000,center,q2,0.0000,45.9759,52.0605,1.4695,18.3691
664,53.0400,158.6039,148.2679,107.0000,center,q2,0.0000,44.8075,53.1903,1.9193,23.9918
665,53.1200,157.8911,149.3372,105.0000,center,q2,0.0000,44.2556,53.7463,1.2851,16.0633
666,53.2000,157.1783,150.7628,109.0000,center,q2,0.0000,43.3552,54.6395,1.5939,19.9241
667,53.2800,156.1090,151.8321,111.0000,center,q2,0.0000,42.8779,55.0841,1.5121,18.9017
668,53.3600,154.6834,153.2577,100.0000,center,q2,0.0000,42.1669,55.7352,2.0162,25.2022
669,53.4400,153.6141,153.9706,106.0000,center,q2,0.0000,41.9449,55.9399,1.2851,16.0633
670,53.5200,151.8321,155.0398,109.0000,center,q2,0.0000,41.5905,56.2342,2.0782,25.9779
671,53.6000,150.0500,155.7526,101.0000,center,q2,0.0000,41.5065,56.2679,1.9193,23.9918
672,53.6800,148.6244,156.1090,107.0000,center,q2,0.0000,41.6699,56.1389,1.4695,18.3691
673,53.7600,146.8423,156.4655,107.0000,center,q2,0.0000,41.7628,55.9460,1.8174,22.7170
674,53.8400,145.0602,156.8219,106.0000,center,q2,0.0000,41.9252,55.8117,1.8174,22.7170
675,53.9200,143.2782,156.8219,109.0000,center,q2,0.0000,42.3592,55.3888,1.7821,22.2758
676,54.0000,141.8525,156.8219,109.0000,center,q2,0.0000,42.5985,55.0896,1.4257,17.8207
677,54.0800,140.0704,156.4655,104.0000,center,q2,0.0000,43.1966,54.4141,1.8174,22.7170
678,54.1600,138.6448,155.7526,105.0000,center,q2,0.0000,44.1219,53.4885,1.5939,19.9241
679,54.2400,137.9320,155.3962,106.0000,center,q2,0.0000,44.5987,53.0375,0.7970,9.9621
680,54.3200,137.2191,154.3270,112.0000,center,q2,0.0000,45.7682,51.8871,1.2851,16.0633
681,54.4000,136.5063,152.9013,107.0000,center,q2,0.0000,47.2863,50.3889,1.5939,19.9241
682,54.4800,136.1499,151.8321,113.0000,center,q2,0.0000,48.3988,49.2875,1.1271,14.0885
683,54.5600,136.1499,150.7628,118.0000,center,q2,0.0000,49.4542,48.2243,1.0692,13.3655
684,54.6400,136.1499,149.3372,116.0000,center,q2,0.0000,50.8623,46.8072,1.4257,17.8207
685,54.7200,136.5063,147.5551,116.0000,center,q2,0.0000,52.5682,45.0788,1.8174,22.7170
686,54.8000,136.5063,146.1295,120.0000,center,q2,0.0000,53.9704,43.6643,1.4257,17.8207
687,54.8800,137.2191,144.7038,123.0000,center,q2,0.0000,55.2544,42.3498,1.5939,19.9241
688,54.9600,137.5755,142.9217,117.0000,center,q2,0.0000,56.9593,40.6444,1.8174,22.7170
689,55.0400,138.2884,141.4961,126.0000,center,q2,0.0000,58.2689,39.3646,1.5939,19.9241
690,55.1200,139.3576,140.0704,119.0000,center,q2,0.0000,59.5338,38.1851,1.7821,22.2758
691,55.2000,140.0704,138.2884,123.0000,center,q2,0.0000,61.1080,36.6191,1.9193,23.9918
692,55.2800,141.1397,136.8627,123.0000,center,q2,0.0000,62.1765,35.5310,1.7821,22.2758
693,55.3600,142.2089,135.4371,125.0000,center,q2,0.0000,63.2772,34.5006,1.7821,22.2758
694,55.4400,143.6346,134.3678,125.0000,center,q2,0.0000,63.7990,33.9963,1.7821,22.2758
695,55.5200,145.0602,132.9422,124.0000,center,q2,0.0000,64.6328,33.2558,2.0162,25.2022
696,55.6000,146.4859,131.8729,129.0000,center,q2,0.0000,65.0325,32.9374,1.7821,22.2758
697,55.6800,147.9115,130.8037,125.0000,center,q2,0.0000,65.2850,32.7130,1.7821,22.2758
698,55.7600,149.3372,129.3780,130.0000,center,q2,0.0000,65.7754,32.2909,2.0162,25.2022
699,55.8400,150.7628,128.3088,127.0000,center,q2,0.0000,65.8671,32.2713,1.7821,22.2758
700,55.9200,151.8321,127.2396,119.0000,center,q1,0.0000,66.0837,32.1174,1.5121,18.9017
701,56.0000,153.2577,125.8139,128.0000,center,q1,0.0000,66.2622,32.0224,2.0162,25.2022
702,56.0800,154.6834,124.7447,122.0000,center,q1,0.0000,66.0779,32.2950,1.7821,22.2758
703,56.1600,156.1090,123.3190,122.0000,center,q1,0.0000,66.0318,32.4363,2.0162,25.2022
704,56.2400,157.5347,122.2498,125.0000,center,q1,0.0000,65.6275,32.9107,1.7821,22.2758
705,56.3200,158.6039,120.8241,121.0000,center,q1,0.0000,65.6517,32.9801,1.7821,22.2758
706,56.4000,159.6732,119.7549,125.0000,center,q1,0.0000,65.3414,33.3249,1.5121,18.9017
707,56.4800,161.0988,117.9728,121.0000,center,q1,0.0000,65.0325,33.7227,2.2822,28.5270
708,56.5600,161.8117,116.5472,123.0000,center,q1,0.0000,65.0325,33.7564,1.5939,19.9241
709,56.6400,162.5245,115.1215,123.0000,center,q1,0.0000,64.9963,33.8652,1.5939,19.9241
710,56.7200,163.5937,113.6959,124.0000,center,q1,0.0000,64.4941,34.3863,1.7821,22.2758
711,56.8000,164.3065,111.9138,124.0000,center,q1,0.0000,64.4014,34.5519,1.9193,23.9918
712,56.8800,165.0194,110.1317,120.0000,center,q1,0.0000,64.1435,34.8226,1.9193,23.9918
713,56.9600,165.7322,108.7061,123.0000,center,q1,0.0000,63.7113,35.2539,1.5939,19.9241
714,57.0400,166.0886,106.9240,125.0000,center,q1,0.0000,63.6335,35.3543,1.8174,22.7170
715,57.1200,167.1579,105.1419,121.0000,center,q1,0.0000,62.7449,36.2588,2.0782,25.9779
716,57.2000,167.8707,103.3599,127.0000,center,q1,0.0000,62.0988,36.9010,1.9193,23.9918
717,57.2800,168.5835,101.5778,121.0000,center,q1,0.0000,61.3538,37.6303,1.9193,23.9918
718,57.3600,169.2963,100.1521,115.0000,center,q1,0.0000,60.5997,38.4152,1.5939,19.9241
719,57.4400,170.3656,98.7265,113.0000,center,q1,0.0000,59.4217,39.6037,1.7821,22.2758
720,57.5200,171.4348,97.6573,115.0000,center,q1,0.0000,58.1839,40.7888,1.5121,18.9017
721,57.6000,172.8605,96.9444,117.0000,center,q1,0.0000,56.6619,42.2965,1.5939,19.9241
722,57.6800,174.2861,95.8752,120.0000,center,q1,0.0000,55.0921,43.8653,1.7821,22.2758
723,57.7600,175.7118,95.1624,112.0000,center,q1,0.0000,53.5819,45.3883,1.5939,19.9241
724,57.8400,177.1374,94.0931,119.0000,center,q1,0.0000,52.0315,46.9809,1.7821,22.2758
725,57.9200,178.5631,93.3803,119.0000,center,q1,0.0000,50.4863,48.5161,1.5939,19.9241
726,58.0000,179.9887,92.6675,112.0000,center,q1,0.0000,48.9274,50.0549,1.5939,19.9241
727,58.0800,181.7708,91.9546,111.0000,center,q1,0.0000,47.0250,51.9456,1.9193,23.9918
728,58.1600,183.1965,91.2418,117.0000,center,q1,0.0000,45.4703,53.4903,1.5939,19.9241
729,58.2400,184.6221,90.8854,114.0000,center,q1,0.0000,44.0008,54.9593,1.4695,18.3691
730,58.3200,186.4042,90.5290,115.0000,center,q1,0.0000,42.1849,56.7762,1.8174,22.7170
731,58.4000,187.8298,90.5290,115.0000,center,q1,0.0000,40.8012,58.1689,1.4257,17.8207
732,58.4800,189.6119,90.5290,112.0000,center,q1,0.0000,39.0756,59.9120,1.7821,22.2758
733,58.5600,191.3940,90.5290,103.0000,center,q1,0.0000,37.3469,61.6572,1.7821,22.2758
734,58.6400,192.8196,90.5290,107.0000,center,q1,0.0000,35.9607,63.0549,1.4257,17.8207
735,58.7200,194.6017,90.8854,114.0000,center,q1,0.0000,34.2787,64.7371,1.8174,22.7170
736,58.8000,196.3837,91.5982,110.0000,center,q1,0.0000,32.6289,66.3652,1.9193,23.9918
737,58.8800,197.8094,91.9546,108.0000,center,q1,0.0000,31.2548,67.7127,1.4695,18.3691
738,58.9600,199.2351,92.6675,109.0000,center,q1,0.0000,29.9430,69.0118,1.5939,19.9241
739,59.0400,200.6607,93.7367,103.0000,center,q1,0.0000,28.7283,70.2762,1.7821,22.2758
740,59.1200,202.0864,94.4495,101.0000,center,q1,0.0000,27.4230,71.6033,1.5939,19.9241
741,59.2000,203.5120,95.5188,101.0000,center,q1,0.0000,26.1739,72.9046,1.7821,22.2758
742,59.2800,204.9377,96.5880,101.0000,center,q1,0.0000,24.9031,74.2259,1.7821,22.2758
743,59.3600,205.6505,97.6573,101.0000,center,q1,0.0000,24.2361,74.8549,1.2851,16.0633
744,59.4400,206.7197,99.0829,104.0000,center,q1,0.0000,23.1669,75.8381,1.7821,22.2758
745,59.5200,207.4326,100.5086,97.0000,center,q1,0.0000,22.4993,76.4938,1.5939,19.9241
746,59.6000,208.1454,101.9342,102.0000,wall,q1,0.0000,21.9274,77.1768,1.5939,19.9241
747,59.6800,208.8582,103.7163,95.0000,wall,q1,0.0000,21.2208,77.8898,1.9193,23.9918
748,59.7600,209.2146,105.1419,100.0000,wall,q1,0.0000,20.7211,78.2755,1.4695,18.3691
749,59.8400,209.9275,106.5676,115.0000,wall,q1,0.0000,19.9591,79.0428,1.5939,19.9241
750,59.9200,210.2839,108.3497,108.0000,wall,q1,0.0000,19.6027,79.5030,1.8174,22.7170
751,60.0000,210.9967,109.7753,105.0000,wall,q1,0.0000,18.8090,80.3250,1.5939,19.9241
752,60.0800,211.7095,111.2010,104.0000,wall,q1,0.0000,17.9095,81.1700,1.5939,19.9241
753,60.1600,212.0659,112.9830,100.0000,wall,q1,0.0000,17.2888,81.7270,1.8174,22.7170
754,60.2400,212.4223,114.4087,103.0000,wall,q1,0.0000,16.7059,82.2694,1.4695,18.3691
755,60.3200,212.7788,115.8343,102.0000,wall,q1,0.0000,16.1373,82.8343,1.4695,18.3691
756,60.4000,213.1352,117.6164,101.0000,wall,q1,0.0000,15.5275,83.4837,1.8174,22.7170
757,60.4800,213.4916,119.3985,103.0000,wall,q1,0.0000,14.8843,84.1674,1.8174,22.7170
758,60.5600,213.8480,120.8241,106.0000,wall,q1,0.0000,14.1895,84.8081,1.4695,18.3691
759,60.6400,213.8480,122.6062,98.0000,wall,q1,0.0000,13.7577,85.2043,1.7821,22.2758
760,60.7200,213.8480,124.0318,102.0000,wall,q1,0.0000,13.4165,85.5466,1.4257,17.8207
761,60.8000,213.8480,125.8139,104.0000,wall,q1,0.0000,12.9736,86.0059,1.7821,22.2758
762,60.8800,213.8480,127.5960,108.0000,wall,q1,0.0000,12.5354,86.4994,1.7821,22.2758
763,60.9600,213.4916,129.3780,111.0000,wall,q1,0.0000,12.2898,86.6873,1.8174,22.7170
764,61.0400,213.1352,131.1601,109.0000,wall,q1,0.0000,11.9810,86.9128,1.8174,22.7170
765,61.1200,212.7788,132.5858,107.0000,wall,q1,0.0000,11.8477,87.0531,1.4695,18.3691
766,61.2000,212.4223,134.0114,108.0000,wall,q1,0.0000,11.6531,87.2180,1.4695,18.3691
767,61.2800,211.7095,135.4371,110.0000,wall,q1,0.0000,11.8477,87.0766,1.5939,19.9241
768,61.3600,210.9967,136.8627,116.0000,wall,q1,0.0000,11.9545,86.9643,1.5939,19.9241
769,61.4400,210.6403,138.6448,113.0000,wall,q1,0.0000,11.4774,87.3521,1.8174,22.7170
770,61.5200,210.2839,139.7140,114.0000,wall,q1,0.0000,11.3214,87.4728,1.1271,14.0885
771,61.6000,209.9275,141.1397,114.0000,wall,q1,0.0000,11.0027,87.7629,1.4695,18.3691
772,61.6800,209.5710,142.9217,115.0000,wall,q1,0.0000,10.5248,88.2379,1.8174,22.7170
773,61.7600,209.2146,144.3474,114.0000,wall,q1,0.0000,10.2620,88.5800,1.4695,18.3691
774,61.8400,209.2146,145.7731,113.0000,wall,q1,0.0000,9.4902,89.2573,1.4257,17.8207
775,61.9200,209.2146,147.5551,102.0000,wall,q1,0.0000,8.6131,90.1285,1.7821,22.2758
776,62.0000,208.8582,148.9808,111.0000,wall,q1,0.0000,8.1353,90.5378,1.4695,18.3691
777,62.0800,208.8582,150.4064,113.0000,wall,q1,0.0000,7.4165,91.2729,1.4257,17.8207
